Year,Total monarchs reported,Number of sites monitored,Type
2024,"7,601",202,Early-Season
2025,"6,113",218,Early-Season
1997,"1,235,490",101,Mid-Season
1998,"564,349",111,Mid-Season
1999,"267,074",117,Mid-Season
2000,"390,057",139,Mid-Season
2001,"209,570",126,Mid-Season
2002,"99,353",94,Mid-Season
2003,"254,378",123,Mid-Season
2004,"205,085",83,Mid-Season
2005,"218,679",91,Mid-Season
2006,"221,058",87,Mid-Season
2007,"86,437",92,Mid-Season
2008,"131,889",116,Mid-Season
2009,"58,468",76,Mid-Season
2010,"143,204",114,Mid-Season
2011,"222,525",128,Mid-Season
2012,"144,812",136,Mid-Season
2013,"211,275",163,Mid-Season
2014,"234,726",184,Mid-Season
2015,"292,880",185,Mid-Season
2016,"298,464",252,Mid-Season
2017,"192,626",263,Mid-Season
2018,"27,721",213,Mid-Season
2019,"29,429",238,Mid-Season
2020,"1,901",248,Mid-Season
2021,"247,246",284,Mid-Season
2022,"335,479",270,Mid-Season
2023,"233,394",257,Mid-Season
2024,"9,119",257,Mid-Season
2025,"12,260",249,Mid-Season
2017,"98,950",46,Late-Season
2018,"74,728",115,Late-Season
2019,"16,554",143,Late-Season
2020,"11,971",118,Late-Season
2021,"1,069",166,Late-Season
2022,"151,168",207,Late-Season
2023,"116,758",175,Late-Season
2024,"141,076",200,Late-Season
2025,5407,223,Late-Season
2026,"6,464",193,Late-Season
